GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PmoAutomationProject,pages,PageActionsBase,0,41,0,0,0,12,0,1,0,1
PmoAutomationProject,pages,PageUIBase,86,58,0,0,18,17,10,6,10,6
PmoAutomationProject,pages.HezkyTech,CustomerPanel,2597,160,139,11,581,35,139,8,66,6
PmoAutomationProject,pages.HezkyTech,UploadCertificate,233,0,12,0,54,0,14,0,8,0
PmoAutomationProject,pages.HezkyTech,AdminPanel,184,0,10,0,44,0,12,0,7,0
PmoAutomationProject,pages.HezkyTech,HezkyTechPageBase,12,12,0,0,2,4,2,2,2,2
PmoAutomationProject,utils.readers,Config,95,154,2,2,24,38,6,13,4,13
PmoAutomationProject,utils,ScreenshotHelper,94,50,3,1,17,9,4,2,2,2
PmoAutomationProject,utils,BrowserActions,1990,96,47,1,381,21,73,5,49,5
PmoAutomationProject,utils,ExtentReport,221,192,39,11,58,48,34,7,9,7
PmoAutomationProject,utils,RandomDataGenerator,91,0,4,0,17,0,7,0,5,0
PmoAutomationProject,utils,BrowserActionBase,863,117,30,0,165,29,38,6,18,6
PmoAutomationProject,pages.uipages.HezkyTech,CustomerPanelPageUI,0,3,0,0,0,1,0,1,0,1
PmoAutomationProject,pages.uipages.HezkyTech,UploadCertificatePageUI,3,0,0,0,1,0,1,0,1,0
PmoAutomationProject,pages.uipages.HezkyTech,AdminPanelPageUI,3,0,0,0,1,0,1,0,1,0
PmoAutomationProject,utils.webdrivers,DriverManager,15,124,3,3,4,27,6,12,3,12
PmoAutomationProject,utils.webdrivers,DriverManagerFactory,20,22,2,1,4,7,2,1,0,1
PmoAutomationProject,utils.webdrivers,HeadlessChromeBrowser,84,0,0,0,17,0,4,0,4,0
PmoAutomationProject,utils.webdrivers,DriverModule,11,0,0,0,5,0,2,0,2,0
PmoAutomationProject,utils.webdrivers,EdgeBrowser,29,0,0,0,9,0,3,0,3,0
PmoAutomationProject,utils.webdrivers,ChromeBrowser,59,32,0,0,11,9,1,3,1,3
PmoAutomationProject,utils.webdrivers,SafariBrowser,29,0,0,0,9,0,3,0,3,0
PmoAutomationProject,utils.webdrivers,HtmlUnitBrowser,29,0,0,0,9,0,3,0,3,0
PmoAutomationProject,pages.actionpages.authentication,SiteSelection,160,0,10,0,35,0,9,0,4,0
PmoAutomationProject,pages.actionpages.authentication,LoginPageBase,24,0,0,0,6,0,4,0,4,0
PmoAutomationProject,pages.actionpages.authentication,SelectModule,266,0,18,0,62,0,20,0,11,0
PmoAutomationProject,pages.actionpages.authentication,Login,142,0,10,0,36,0,12,0,7,0
PmoAutomationProject,utils.logger,LogsManager,97,128,13,7,31,37,13,14,6,11
PmoAutomationProject,pages.uipages.authentication,SelectModulePageUI,3,0,0,0,1,0,1,0,1,0
PmoAutomationProject,pages.uipages.authentication,LoginPageUI,3,0,0,0,1,0,1,0,1,0
PmoAutomationProject,pages.uipages.authentication,ProductUIPage,3,0,0,0,1,0,1,0,1,0
PmoAutomationProject,pages.uipages.authentication,SiteSelectionPageUI,3,0,0,0,1,0,1,0,1,0
